slug,game_name,iframe_url,image
nsync-pop,*NSYNC Pop,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=nsyncpop&lang=en_GB&practice=1&channel=desktop&demo=2,nsync-pop.webp
15-crystal-roses-a-tale-of-love,15 Crystal Roses: A Tale of Love,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=crystalroses&lang=en_GB&practice=1&channel=desktop&demo=2,15-crystal-roses--a-tale-of-love.webp
24k-dragon,24K Dragon,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=twentyfourkdragon&lang=en_GB&practice=1&channel=desktop&demo=2,24k-dragon.webp
3-clown-monty,3 Clown Monty,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=threeclownmonty&lang=en_GB&practice=1&channel=desktop&demo=2,3-clown-monty.webp
3-clown-monty-ii,3 Clown Monty II,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=threeclownmonty2&lang=en_GB&practice=1&channel=desktop&demo=2,3-clown-monty-ii.webp
3-hand-casino-hold-em,3-Hand Casino Hold'em,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=threehandholdem&lang=en_GB&practice=1&channel=desktop&demo=2,3-hand-casino-hold’em.webp
5x-magic,5x Magic,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=5xmagic&lang=en_GB&practice=1&channel=desktop&demo=2,5x-magic.webp
7-sins,7 Sins,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=sevensins&lang=en_GB&practice=1&channel=desktop&demo=2,7-sins.webp
ace-of-spades,Ace of Spades,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=aceofspades&lang=en_GB&practice=1&channel=desktop&demo=2,ace-of-spades.webp
agent-destiny,Agent Destiny,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=agentdestiny&lang=en_GB&practice=1&channel=desktop&demo=2,agent-destiny.webp
agent-of-hearts,Agent of Hearts,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=agentofhearts&lang=en_GB&practice=1&channel=desktop&demo=2,agent-of-hearts.webp
alice-cooper-and-the-tome-of-madness,Alice Cooper and the Tome of Madness,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=alicecooper&lang=en_GB&practice=1&channel=desktop&demo=2,alice-cooper-and-the-tome-of-madness.webp
animal-madness,Animal Madness,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=animalmadness&lang=en_GB&practice=1&channel=desktop&demo=2,animal-madness.webp
ankh-of-anubis,Ankh of Anubis,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=ankhofanubis&lang=en_GB&practice=1&channel=desktop&demo=2,ankh-of-anubis.webp
ankh-of-anubis-awakening,Ankh of Anubis Awakening,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=ankhofanubisawakening&lang=en_GB&practice=1&channel=desktop&demo=2,ankh-of-anubis-awakening.webp
annihilator,Annihilator,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=annihilator&lang=en_GB&practice=1&channel=desktop&demo=2,annihilator.webp
athena-ascending,Athena Ascending,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=athenaascending&lang=en_GB&practice=1&channel=desktop&demo=2,athena-ascending.webp
aztec-idols,Aztec Idols,https://asccw.playngonetwork.com/casino/ContainerLauncher?pid=2&gid=aztecidols&lang=en_GB&practice=1&channel=desktop&demo=2,aztec-idols.webp
